,abstract,date,headline,id,lead_paragraph,url,word_count
12,"From a suspicious text message I received, technology researchers concluded that hackers working for Saudi Arabia had targeted my phone with powerful Israeli software.",2020-01-28,Someone Tried to Hack My Phone. Technology Researchers Accused Saudi Arabia.,nyt://article/d3a97f25-d808-5673-a00e-2a28bf2da7d5,"Times Insider explains who we are and what we do, and delivers behind-the-scenes insights into how our journalism comes together.",https://www.nytimes.com/2020/01/28/reader-center/phone-hacking-saudi-arabia.html,1486
13,"As if the caucusing wasn’t confusing enough, officials will release raw vote totals that could allow candidates to spin the results.",2020-02-01,How Will the Winner of the Iowa Caucuses Be Chosen? Here’s What You Should Know,nyt://article/ed9f6baf-a5b5-5bd1-a24e-d24e79e35f17,"DES MOINES — Once upon a time, the winner of the Iowa caucuses was obvious to everyone.",https://www.nytimes.com/2020/02/01/us/politics/iowa-caucus-delegates-winner.html,1112
14,"In an interview with Sean Hannity of Fox News, President Trump insulted his potential 2020 rivals, lamented impeachment and defended his administration’s coronavirus policies.",2020-02-02,Trump Defends Closing Borders to Travelers to Fight Coronavirus,nyt://article/7df01989-3876-5596-b2bc-49a4056ab328,"WEST PALM BEACH, Fla. — President Trump defended a decision that would bar foreign nationals who had recently visited China from entering the United States as his administration continued to assess the growing threat of a coronavirus outbreak.",https://www.nytimes.com/2020/02/02/us/politics/trump-super-bowl-interview-coronavirus.html,571
15,What happens when hundreds of reporters from New York and Washington go to Des Moines? A sponsored Sunday brunch.,2020-02-03,The National Media Mob Descends on Iowa,nyt://article/02b359f3-48f4-5635-aa35-f7ee97dce2a2,"DES MOINES — Every spring, the Washington impresario Tammy Haddad hosts a charity brunch before the White House Correspondents’ Dinner that is a required stop for reporters, editors, network news anchors and political operatives.",https://www.nytimes.com/2020/02/03/business/media/iowa-caucus-media.html,867
16,"The changes come two months after a hedge fund once called “the destroyer of newspapers” bought a 32 percent stake in the company, which owns The Chicago Tribune and other newspapers.",2020-02-03,Tribune Publishing C.E.O. Departs in Management Shake-Up,nyt://article/081dc31c-b34d-5269-ab9a-d0edbe9fb438,"Tribune Publishing, the owner of The Chicago Tribune, announced a management shake-up on Monday, naming Terry Jimenez, its chief financial officer, as the chief executive. He succeeds Timothy P. Knight, who will step down after only a year leading the company.",https://www.nytimes.com/2020/02/03/business/media/tribune-publishing-ceo-shakeup.html,438
17,The “Fox News Sunday” anchor told The Times that the accusation from Steve Bannon was “utter foolishness.”,2020-02-04,Did Fox News Edit an Interview at Trump’s Request? Chris Wallace Says No,nyt://article/74b0f995-0bb5-5a1e-96ba-5e102187d1f7,"On Dec. 10, 2016, the Fox News anchor Chris Wallace spent several hours interviewing Donald J. Trump for an episode of “Fox News Sunday.” Mr. Wallace spoke with Mr. Trump at Trump Tower in Manhattan and then flew with Mr. Trump and his advisers to the Army-Navy football game in Baltimore, where their conversation continued.",https://www.nytimes.com/2020/02/04/business/media/fox-news-chris-wallace-trump-interview.html,786
18,"The company, owned by Google’s parent, introduced a free tool it calls Assembler to sort out real images from fake ones.",2020-02-04,Tool to Help Journalists Spot Doctored Images Is Unveiled by Jigsaw,nyt://article/373e83ab-c77e-5215-99d1-eb53c69b7b91,"A doctored, phony image of President Barack Obama shaking hands with President Hassan Rouhani of Iran. A real photograph of a Muslim girl at a desk doing her homework with Donald J. Trump looming in the background on television.",https://www.nytimes.com/2020/02/04/technology/jigsaw-doctored-images-disinformation.html,693
19,She led The New York Post and the business news site Quartz.,2020-02-04,"Xana Antunes, Business Journalist and Top Editor, Dies at 55",nyt://article/db701889-6f8f-5c2e-88ba-699497073c3d,"Xana Antunes, a business journalist who was editor of The New York Post from 1999 to 2001 and later ran the business news site Quartz, died on Jan. 27 at a hospice care center in Manhattan. She was 55.",https://www.nytimes.com/2020/02/03/business/xana-antunes-dead.html,561
20,"Every weekday, we recommend one piece of exceptional writing from across the newsroom. You never know what you’ll find. And that’s the point.",2020-02-04,"Stories to Sweep You Away: Our New Feature, The Great Read",nyt://article/5dd1a235-f1b4-5ee5-ac65-f3c7308a4b07,"Times Insider explains who we are and what we do, and delivers behind-the-scenes insights into how our journalism comes together.",https://www.nytimes.com/2020/02/04/reader-center/stories-to-sweep-you-away-our-new-feature-the-great-read.html,757
21,"At lunch with TV anchors before the State of the Union speech, the president was jovial about Iowa’s voting problems and said John Bolton “turned on me.”",2020-02-04,Trump Says He Is In for Debates and Wants to Honor Rush Limbaugh,nyt://article/b0d9bb81-6875-53a3-8137-8935813d6a2e,"President Trump told a group of television news anchors at the White House on Tuesday that he would participate in this year’s general election debates, despite his misgivings about the commission that oversees them, according to two people with knowledge of his comments.",https://www.nytimes.com/2020/02/04/us/politics/donald-trump-news.html,575
