,abstract,date,headline,id,lead_paragraph,section,source,url,word_count
0,"Confronting a viral epidemic with a scant supply of protective equipment, more than 1,700 Chinese medical workers have already been infected, and six have died.",2020-02-14,"China’s Doctors, Fighting the Coronavirus, Beg for Masks",nyt://article/5f251f16-e2d1-573b-8ec0-5b468da6b27d,"WUHAN, China — In the hospital where Yu Yajie works, nurses, doctors and other medical professionals fighting the new coronavirus have also been fighting dire shortages. They have used tape to patch up battered protective masks, repeatedly reused goggles meant for one-time use, and wrapped their shoes in plastic bags for lack of specialized coverings.",World,The New York Times,https://www.nytimes.com/2020/02/14/world/asia/china-coronavirus-doctors.html,1821
56,"Chinese authorities are using infrared thermometers to screen people for the illness, as the devices have become synonymous with trying to contain deadly outbreaks.",2020-02-14,‘Thermometer Guns’ on Coronavirus Front Lines Are ‘Notoriously Not Accurate’,nyt://article/96060d23-1ac2-5b98-a8f5-5bb97278120b,It has become an iconic image of the coronavirus outbreak in China: a masked official aiming what appears to be a small white pistol at a traveler’s forehead.,Business Day,The New York Times,https://www.nytimes.com/2020/02/14/business/coronavirus-temperature-sensor-guns.html,1213
52,"When Kevin Tang’s American teacher found out he was stuck at home because of coronavirus, she decided to use music to improve his mood.",2020-02-14,Violin Lessons During the Coronavirus Outbreak. A Pupil’s Progress.,nyt://article/e4c5a89b-fe40-5d4c-a37b-9d0ecd9ba653,"Thirty minutes into the violin lesson, Anthea Kreston knew that something was wrong.",World,The New York Times,https://www.nytimes.com/2020/02/14/world/asia/china-coronavirus-chengdu.html,739
8,"Two video bloggers whose dispatches from the heart of the outbreak showed fear, grief and dissatisfaction with the government have gone silent.",2020-02-14,They Documented the Coronavirus Crisis in Wuhan. Then They Vanished.,nyt://article/64c1e462-164f-586d-a7a7-b4d810e41e28,"HONG KONG — The beige van squatted outside of a Wuhan hospital, its side and back doors ajar. Fang Bin, a local clothing salesman, peered inside as he walked past. He groaned: “So many dead.” He counted five, six, seven, eight body bags. “This is too many.”  ",Business Day,The New York Times,https://www.nytimes.com/2020/02/14/business/wuhan-coronavirus-journalists.html,1194
59,"Despite their high-tech tools, the authorities are mainly relying on a flood of workers to keep hundreds of millions of people from coming in contact with outsiders.",2020-02-15,"To Tame Coronavirus, Mao-Style Social Control Blankets China",nyt://article/e410a91b-032d-5d66-9718-d117e2c990d2,"SHANGHAI — China has flooded cities and villages with battalions of neighborhood busybodies, uniformed volunteers and Communist Party representatives to carry out one of the biggest social control campaigns in history.",Business Day,The New York Times,https://www.nytimes.com/2020/02/15/business/china-coronavirus-lockdown.html,1525
9,"Amid assurances that the Westerdam was disease free, hundreds of people disembarked in Cambodia and headed for airports. One was later found to be infected.",2020-02-16,Coronavirus Infection Found After Cruise Ship Passengers Disperse,nyt://article/7ab20ee2-8c32-5ce5-83d1-3a510fc7fcd4,"The cruise ship had been shunned at port after port for fear it might carry the coronavirus, but when the Westerdam arrived in Cambodia on Thursday, the prime minister greeted its passengers with flowers.",World,The New York Times,https://www.nytimes.com/2020/02/16/world/asia/coronavirus-cruise-americans.html,1554
3,"Some factories are firing up again, but with many workers quarantined and parts in short supply, production is limited.",2020-02-17,"Slowed by the Coronavirus, China Inc. Struggles to Reopen",nyt://article/3bdc8612-9959-5568-a02f-e8cdc5c91477,Airbus is slowly restarting its assembly line in China. General Motors began limited production on Saturday. Toyota followed on Monday morning.,Business Day,The New York Times,https://www.nytimes.com/2020/02/17/business/china-coronavirus-economy.html,1562
53,"Scientists have dismissed suggestions that the Chinese government was behind the outbreak, but it’s the kind of tale that gains traction among those who see China as a threat.",2020-02-17,Senator Tom Cotton Repeats Fringe Theory of Coronavirus Origins,nyt://article/7b1f2830-99a6-5951-83dc-c2b099dbcb12,The rumor appeared shortly after the new coronavirus struck China and spread almost as quickly: that the outbreak now afflicting people around the world had been manufactured by the Chinese government.,Business Day,The New York Times,https://www.nytimes.com/2020/02/17/business/media/coronavirus-tom-cotton-china.html,965
54,The likely postponement of the most important spectacle on China’s political calendar reflects the Communist Party’s growing anxiety over the epidemic.,2020-02-17,"Battling Coronavirus, China Signals Delay of Its Top Party Gathering",nyt://article/887dd405-1b7d-542b-bf18-810c5f6f0bb2,"China signaled on Monday that it would postpone its most important political spectacle of the year, a sign of deepening anxiety within the ruling Communist Party about the threat posed by the coronavirus epidemic.",World,The New York Times,https://www.nytimes.com/2020/02/17/world/asia/china-coronavirus-congress-postpone.html,910
1,"The family of Chloe Chang, a Taiwanese woman, is effectively trapped in Hubei Province, and in the middle of a spat between China and Taiwan.",2020-02-17,‘Now We Are Refugees’: A Family in Limbo Amid the Coronavirus Outbreak,nyt://article/2d254e03-af51-50eb-bf59-42182ae7f4bd,"These days, Chloe Chang, a Taiwanese woman stranded at the center of China’s coronavirus outbreak, says she wakes up every half-hour during the night. Sometimes she breaks down in tears.",World,The New York Times,https://www.nytimes.com/2020/02/17/world/asia/china-coronavirus-hubei-taiwan.html,702
