,Datetime,Text,user,retweets
4,2020-01-22 15:26:27+00:00,Will all those showing symptoms of the Coronavirus please report to The Oval Office ,tenantfromzero,0
5,2020-01-22 15:13:11+00:00,OK...now I’m terrified!!! #EverythingTrumpTouchesDies #Coronavirus #TrumpLies,BradTrent,0
6,2020-01-22 14:46:46+00:00,What’s next? M train feat. Coronavirus?,urbotdaddy,0
7,2020-01-22 13:44:16+00:00,I have CORONAVIRUS under control along with my gonorreah and syphiliis. Don’t worry ladies! ;),jasemichaelnyc,1
8,2020-01-22 12:34:49+00:00,"true life: my mom left me a voicemail asking me if i have coronavirus because it sounds like i have the symptoms...i have a lung injury, not a cold. but thanks for not inciting panic, mom.",__hvw__,0
9,2020-01-22 12:18:35+00:00,"About the #coronavirus, what are the signs and symptoms?",RobbinMoore,1
10,2020-01-22 12:17:53+00:00,@CBSThisMorning Do we know the symptoms of #coronavirus ?,RobbinMoore,1
11,2020-01-22 11:20:51+00:00,Trump says he trusts China's Xi on coronavirus and the US has it 'totally under control' here ,BerkeleyJr,1
12,2020-01-22 10:40:23+00:00,"Moron. RT @nycjim: As world health officials scramble to track spread of deadly coronavirus, Donald Trump declares that everything is “going to be just fine.” More: “We have it totally under control.” https://www.cnbc.com/2020/01/22/davos-2020-cnbcs-full-interview-with-president-trump.html",Kristie_Gordon,0
13,2020-01-22 05:33:38+00:00,Not #SARS Not #MERS But related What is #Coronavirus anyway? WATCH: ,marinastanley,0
14,2020-01-22 04:37:51+00:00,"""World Health Organization to hold an emergency meeting as coronavirus cases jump over 440"" ",MONEYNARCOTRAP,0
15,2020-01-22 04:23:00+00:00,"Okay I was definitely not ready for 2020. Goldman on coronavirus — sees potential 260 kb/d negative shock to global oil demand on avg, including 170 kb/d loss of jet fuel demand. Such demand impact (without an OPEC supply response) would point to $3/bbl impact on #oil price",Devikakrishnak,9
16,2020-01-22 03:47:13+00:00,Me purposely contracting the deadly chinese coronavirus from you tn as a vaccine against future deadly coronaviruses,jojomewa1,0
17,2020-01-22 02:35:55+00:00,Update on coronavirus from China: 9 people have died and 440 cases as of Jan. 21 https://www.cnbc.com/2020/01/21/cdc-to-announce-first-us-case-of-china-coronavirus-that-has-killed-6-cnn-reports.html (h/t @christiiineeee,BerkeleyJr,1
18,2020-01-22 01:54:44+00:00,The US has reported its first case of the deadly Wuhan coronavirus. Here's how to protect yourself while traveling... #CoronaVirus #Illness #Health #Travel #Wuhan #China #Market #NewYorkCity #WetMarket #USA https://www.businessinsider.com/how-to-protect-yourself-from-coronavirus-wuhan-2020-1?utmSource=twitter&amp;utmContent=referral&amp;utmTerm=topbar&amp;referrer=twitter via @businessinsider,BronxTravel,0
19,2020-01-22 00:27:13+00:00, @dw_business we talked about investors reaction in #WallStreet to the 1st case of the #coronavirus in the US. Previous episodes such as #SARS hit the world economy and industries such as #tourism. More: https://m.dw.com/en/dw-business-international/av-52103335,eleconomistany,4
20,2020-01-22 23:40:15+00:00,Yo.. I m sick think I got that Corona Virus....bout to call out of work tomorrow....,BKtheFIA,0
21,2020-01-22 23:35:47+00:00,Lil mans puttin in dat work! #Mets #Dance #coronavirus #OleOut #TrumpImpeachmentTrial #RIPeanut #MUFC #loveisland #naseeruddinshah #BiggBoss13 #ShareToEnter #قصمان_ياكلون_تمساح #ParasOurPride #نداء_الحرب #IDontSpeakArabic #McGregorVsCowboy #nyc #NewYork #newyorkcity #yankees #cat,NYSGang,0
22,2020-01-22 20:41:40+00:00,Novel Coronavirus Information ,MBEMSC,2
23,2020-01-22 20:06:00+00:00,Is this the end? #China #coronavirus #spread #Fatal #dangerous,Miss_Franco0,0
24,2020-01-22 17:50:19+00:00,You got that coronavirus ,_WarrenMac,0
25,2020-01-22 16:44:57+00:00,¡Comprobado! Calderón introdujo el coronavirus a México para afectar a Cabecita Algodón e hizo alianza con los chinos para ello . Tengan cuidado con las Coronas. ,cheli89,4
26,2020-01-22 16:35:30+00:00, China confirms 17 deaths as coronavirus spreads to multiple countries ,MrsValdevilla,0
