Datetime,senti,weightedSenti,rolling_sum,rolling_sum_weighted
2020-01-21 00:00:00+00:00,0.4516129032258064,0.3699754330043058,0.4423963133640553,0.36813036315734743
2020-01-22 00:00:00+00:00,0.4516129032258064,0.43067968688087205,0.41935483870967744,0.4312426340817009
2020-01-23 00:00:00+00:00,0.32258064516129037,0.4149180659874787,0.33333333333333326,0.4155521287137421
2020-01-24 00:00:00+00:00,0.25806451612903225,0.4225523259397536,0.27956989247311836,0.4237257327806085
2020-01-25 00:00:00+00:00,0.35483870967741926,0.42898024954432185,0.34408602150537637,0.4294073843880644
2020-01-26 00:00:00+00:00,0.032258064516129004,0.4102159958438631,0.03225806451612889,0.41104902403414856
2020-01-27 00:00:00+00:00,0.6774193548387095,0.4528692313788336,0.6559139784946237,0.4532245864824772
2020-01-28 00:00:00+00:00,0.06451612903225812,0.42722797995896694,0.09677419354838701,0.4283519692287847
2020-01-29 00:00:00+00:00,0.7096774193548386,0.4349943205332535,0.6881720430107527,0.43549947522412913
2020-01-30 00:00:00+00:00,0.3870967741935484,0.23685577676613803,0.3763440860215054,0.23758861089774788
2020-01-31 00:00:00+00:00,0.5161290322580645,0.6704236265816654,0.5483870967741935,0.671076933901694
2020-02-01 00:00:00+00:00,0.29032258064516125,0.39779161199996477,0.29032258064516137,0.39862151053362965
2020-02-02 00:00:00+00:00,0.6129032258064515,0.425995227486858,0.5913978494623657,0.4265900122545427
2020-02-03 00:00:00+00:00,0.5161290322580645,0.44597462290982415,0.5268817204301075,0.4471266322288609
2020-02-04 00:00:00+00:00,0.4193548387096774,0.436244683754964,0.43010752688172044,0.4373347249177656
2020-02-05 00:00:00+00:00,0.4193548387096774,0.6283339350339447,0.3978494623655915,0.6273006584617911
2020-02-06 00:00:00+00:00,0.19354838709677424,0.43760951684908467,0.21505376344086014,0.43902338917261313
2020-02-07 00:00:00+00:00,0.4516129032258064,0.4816892231017813,0.4516129032258065,0.4824595863945259
2020-02-08 00:00:00+00:00,0.0,0.38920637156920584,0.0,0.3899407208485538
2020-02-09 00:00:00+00:00,0.4516129032258064,0.43943222943284577,0.4408602150537635,0.4403602483743675
2020-02-10 00:00:00+00:00,0.25806451612903225,0.4390359875668108,0.26881720430107525,0.43944262352754926
2020-02-11 00:00:00+00:00,0.5483870967741935,0.4496552695765495,0.5376344086021505,0.45023131182240883
2020-02-12 00:00:00+00:00,0.4193548387096774,0.43739818785386597,0.4086021505376344,0.4380588569853825
2020-02-13 00:00:00+00:00,0.16129032258064513,0.43415780992717956,0.18279569892473113,0.4349659042269377
2020-02-14 00:00:00+00:00,0.3870967741935484,0.41099086882633157,0.3655913978494624,0.4115796633225642
2020-02-15 00:00:00+00:00,0.6129032258064515,0.43476538078843324,0.6129032258064516,0.43550240693290493
2020-02-16 00:00:00+00:00,0.25806451612903225,0.4424876944887159,0.25806451612903225,0.441497751379369
2020-02-17 00:00:00+00:00,0.22580645161290325,0.44226756011869645,0.22580645161290325,0.4427613178617289
2020-02-18 00:00:00+00:00,0.32258064516129037,0.4426990234839346,0.34408602150537637,0.4453793337984978
2020-02-19 00:00:00+00:00,0.35483870967741926,0.44443368231968794,0.3548387096774194,0.44513600197010833
2020-02-20 00:00:00+00:00,0.5161290322580645,0.32265534882492275,0.4946236559139785,0.3220452773103331
2020-02-21 00:00:00+00:00,0.25806451612903225,0.43696672448862783,0.25806451612903225,0.43912893068854114
2020-02-22 00:00:00+00:00,0.032258064516129004,0.41793830954414574,0.053763440860215006,0.4188503010864913
2020-02-23 00:00:00+00:00,0.4516129032258064,0.43089101587609074,0.43010752688172044,0.4314595805311084
2020-02-24 00:00:00+00:00,0.4516129032258064,0.44667905289388643,0.4731182795698925,0.44766899835237967
2020-02-25 00:00:00+00:00,0.7419354838709676,0.41235570192045223,0.7311827956989247,0.4134706154829404
2020-02-26 00:00:00+00:00,0.9032258064516128,0.3353703100372467,0.89247311827957,0.33538455224011865
2020-02-27 00:00:00+00:00,0.4516129032258064,0.4138438102617838,0.4731182795698925,0.4147077965863183
2020-02-28 00:00:00+00:00,0.48387096774193544,0.44384372220803575,0.4838709677419355,0.44445291382535224
2020-02-29 00:00:00+00:00,0.29032258064516125,0.4464413077742654,0.29032258064516137,0.4471471541902914
2020-03-01 00:00:00+00:00,0.4193548387096774,0.4136236758917643,0.4086021505376344,0.4142475183085213
2020-03-02 00:00:00+00:00,0.5161290322580645,0.42677010046932645,0.5161290322580645,0.42753109077156715
2020-03-03 00:00:00+00:00,0.32258064516129037,0.06107407961819894,0.33333333333333326,0.06221379193076476
2020-03-04 00:00:00+00:00,0.4516129032258064,0.44902128259089347,0.4408602150537635,0.44962151639704717
2020-03-05 00:00:00+00:00,0.5806451612903225,1.0,0.5591397849462365,1.0
2020-03-06 00:00:00+00:00,0.48387096774193544,0.43122562011852034,0.4838709677419355,0.4317556831174619
2020-03-07 00:00:00+00:00,0.5806451612903225,0.07443183319097979,0.5913978494623657,0.07580519381526718
2020-03-08 00:00:00+00:00,0.8064516129032256,0.4505270016818266,0.8279569892473119,0.45129259039924013
2020-03-09 00:00:00+00:00,0.5161290322580645,0.4449972263069377,0.5161290322580645,0.44566370954974815
2020-03-10 00:00:00+00:00,0.4193548387096774,0.42881294742310705,0.3978494623655915,0.42944256489337373
2020-03-11 00:00:00+00:00,0.25806451612903225,0.44239083536590734,0.27956989247311836,0.443154166837683
2020-03-12 00:00:00+00:00,0.5806451612903225,0.43755668460028,0.5698924731182796,0.452740854534474
